2020-06-05	14:11:12.365629	EGM 	00000	00 
2020-06-05	14:11:12.566618	HOST	00201	80 
2020-06-05	14:11:12.765624	HOST	00199	81 
2020-06-05	14:11:12.765675	EGM 	00000	00 
2020-06-05	14:11:12.965946	HOST	00200	80 
2020-06-05	14:11:13.166156	HOST	00200	81 
2020-06-05	14:11:13.166211	EGM 	00000	00 
2020-06-05	14:11:13.366211	HOST	00200	80 
2020-06-05	14:11:13.565896	HOST	00199	81 
2020-06-05	14:11:13.565952	EGM 	00000	00 
2020-06-05	14:11:13.766166	HOST	00200	80 
2020-06-05	14:11:13.965743	HOST	00199	81 
2020-06-05	14:11:13.965832	EGM 	00000	00 
2020-06-05	14:11:14.167056	HOST	00201	80 
2020-06-05	14:11:14.367019	HOST	00199	81 
2020-06-05	14:11:17.467019	HOST	00199	01 1F
